date,official,soc0_actual,soc24_actual,soc24_plan,purchase_kwh,plan_cost,emergency_kwh,emergency_slots,emergency_cost,total_cost,curtail_kwh
2025-07-14,True,2323.2355632222234,2094.073681962965,1200.0,85110.97167,61815.208658541,17.389950000000226,2,148.14405816833525,61963.352716709334,9833.742710370376
2025-07-15,True,2094.073681962965,2442.8059410740752,1200.0,84371.07655999999,61446.805900759,0.0,0,0.0,61446.805900759,7350.138687736629
2025-07-16,True,2442.8059410740752,1848.0725508518542,1200.0,82219.446299,60772.461045261305,83.67440333333343,3,701.6597817316674,61474.12082699297,7261.0460244321075
2025-07-17,True,1848.0725508518542,1695.636530555557,1200.0,83849.97373,61093.116216678,22.67840000000035,3,192.2983327566696,61285.41454943467,7033.975044855975
2025-07-18,True,1695.636530555557,1958.358640592594,1200.0,44108.242763999995,24803.3370744527,0.0,0,0.0,24803.3370744527,10051.983659226342
2025-07-19,True,1958.358640592594,1941.518826185185,1200.0,43596.071540499994,24493.068793993298,0.0,0,0.0,24493.068793993298,13773.985125829222
2025-07-20,True,1941.518826185185,2265.9295535185174,1200.0,82603.29209,60352.156124443005,0.0,0,0.0,60352.156124443005,6522.320681399181
2025-07-21,True,2265.9295535185174,2461.881814296297,1200.0,83561.87861700001,62139.1097793494,0.0,0,0.0,62139.1097793494,5684.913680251032
2025-07-22,True,2461.881814296297,1696.6400095925953,1200.0,81065.97898,58751.865290967,88.33057999999994,5,739.8701502566662,59491.73544122367,4032.576179835392
2025-07-23,True,1696.6400095925953,2042.5991246666683,1200.0,83770.64916,60988.560344618,0.13492333333340412,1,1.1544715016672722,60989.71481611967,5185.219715925931
2025-07-24,True,2042.5991246666683,2360.492906962963,1200.0,84664.567487,62229.402789626205,0.0,0,0.0,62229.402789626205,6915.670373456806
2025-07-25,True,2360.492906962963,2179.956914111112,1200.0,42548.407653,23896.366479869495,0.0,0,0.0,23896.366479869495,13426.0148466214
2025-07-26,True,2179.956914111112,1926.5462121481505,1200.0,43230.206861,24155.1294429204,0.0,0,0.0,24155.1294429204,11711.037555386829
2025-07-27,True,1926.5462121481505,2411.679139185185,1200.0,84142.993969,61450.8639851066,0.0,0,0.0,61450.8639851066,5766.957264773672
2025-07-28,True,2411.679139185185,1816.2926418888921,1200.0,83863.320642,61504.3357723786,0.0,0,0.0,61504.3357723786,2201.5570249218167
2025-07-29,True,1816.2926418888921,2181.802996962966,1200.0,84086.86765,61359.930216105,51.38587000000018,3,446.4116223866682,61806.341838491666,3690.3425371605067
2025-07-30,True,2181.802996962966,2292.261336444446,1200.0,84103.116481,62284.6596890786,0.0,0,0.0,62284.6596890786,6119.026926144041
2025-07-31,True,2292.261336444446,1833.7611397407438,1200.0,85079.9967668,62116.63786073215,11.54515333333336,2,95.99725501000023,62212.63511574215,6848.605623548979
2025-08-01,True,1833.7611397407438,1990.2179568148144,1200.0,42850.258897499996,23952.42074935835,0.0,0,0.0,23952.42074935835,18515.012060467085
2025-08-02,True,1990.2179568148144,2355.113857111113,1200.0,42590.7807991,23659.44596633836,0.0,0,0.0,23659.44596633836,18751.067736441564
2025-08-03,True,2355.113857111113,1492.4433130370385,1200.0,82863.4810709,58189.31154916639,127.46248000000037,6,1065.1504039466697,59254.46195311306,17371.836899341568
2025-08-04,True,1492.4433130370385,2350.834318518518,1200.0,82385.51548200002,58439.4366887648,0.0,0,0.0,58439.4366887648,12717.10332942388
2025-08-05,True,2350.834318518518,2100.230187925927,1200.0,78754.76628,56338.611876975,1.3013200000000325,1,10.590142160000264,56349.202019135,10340.993998930044
2025-08-06,True,2100.230187925927,1486.817504148149,1200.0,76284.96173000001,55425.856448027,165.4086256000033,3,1395.283256454746,56821.13970448174,5365.322156831284
2025-08-07,True,1486.817504148149,1902.4208012962963,1200.0,76720.88062,54878.799057924996,47.07831333333331,3,400.0144262966665,55278.81348422166,9017.817224526749
2025-08-08,True,1902.4208012962963,2363.8375783333363,1200.0,41875.860915,22916.3418489791,0.0,0,0.0,22916.3418489791,22764.787644958848
2025-08-09,True,2363.8375783333363,2058.6965066296307,1200.0,40481.465240000005,22470.7274108583,0.0,0,0.0,22470.7274108583,19033.66232251029
2025-08-10,True,2058.6965066296307,2307.150885555558,1200.0,75203.5341,55239.91730655199,10.612690000000043,1,92.98308343500038,55332.90038998699,6283.146335843623
2025-08-11,True,2307.150885555558,1867.5094353333343,1200.0,75212.85684,53252.70508170601,101.57098603333068,4,488.2767315221252,53740.981813228136,7182.366413539098
2025-08-12,True,1867.5094353333343,1789.4822941851855,1200.0,73818.95052000001,53777.751573587,299.60797443333536,5,2508.2216152363335,56285.97318882333,2887.375588395067
2025-08-13,True,1789.4822941851855,2245.027946333333,1200.0,74307.97034,53774.973806732996,11.395173333333332,1,98.72208417333331,53873.69589090633,4235.0463004526755
2025-08-14,True,2245.027946333333,1841.0451426666693,1200.0,74879.78213,54067.575435768,51.92495666666662,2,445.13976656666625,54512.715202334664,5274.777663580252
