date,paid_curtail_kwh,paid_curtail_cost,curtail_kwh,emergency_kwh
2025-12-22,6892.979598477383,4434.157583491862,6892.979598477383,0.0
2025-12-23,8236.91925658437,5128.095324755318,8236.91925658437,0.0
2025-12-24,6533.260291440338,4033.2606428279705,6533.260291440338,0.0
2025-12-25,6820.234539506179,4396.174173392896,6820.234539506179,0.0
2025-12-26,4017.298122427989,2237.2289671430926,5508.2370057613225,0.0
2025-12-27,4105.3953595884805,2225.3133191509924,5790.120526954735,0.0
2025-12-28,8536.03056399178,5591.102246303213,8536.03056399178,0.0
2025-12-29,7891.440481358035,5049.178930554151,7891.440481358035,0.0
2025-12-30,8220.08535497943,5469.452084270879,8220.08535497943,0.0
2025-12-31,5093.630279008235,3364.581582504533,5093.630279008235,0.0
